epoch,d_loss,g_loss
0,1.0365135669708252,0.9328371286392212
1,0.6125251650810242,5.961580276489258
2,0.12167956680059433,3.386733293533325
3,0.7208720445632935,2.8509624004364014
4,0.07882244139909744,5.565117359161377
5,0.1030527651309967,3.9343721866607666
6,0.44479286670684814,3.0814812183380127
7,0.4306946098804474,2.771768093109131
8,0.17254744470119476,4.161528587341309
9,0.005564193241298199,6.437146186828613
10,0.08272350579500198,6.798192024230957
11,0.16499486565589905,6.327626705169678
12,0.42417752742767334,1.7664457559585571
13,0.01487269438803196,4.904881477355957
14,0.002281901426613331,7.175000190734863
15,0.00992013979703188,5.636789321899414
16,0.06615810841321945,3.7671456336975098
17,0.18791593611240387,2.3858251571655273
18,0.242677241563797,2.0763721466064453
19,2.137423515319824,0.3684079647064209
20,0.7319462299346924,1.0684834718704224
21,0.38290828466415405,1.9564498662948608
22,0.007382229436188936,6.189123630523682
23,0.021638380363583565,4.905718803405762
24,0.013324029743671417,5.273108005523682
25,0.5937627553939819,1.2261412143707275
26,0.0007189690368250012,9.942312240600586
27,0.2530783712863922,9.360116958618164
28,3.2966532707214355,12.754822731018066
29,0.00961352325975895,5.491816520690918
